Rank: 1, Movie: 3740, Rating: 5.0
Rank: 2, Movie: 3703, Rating: 4.983050847457627
Rank: 3, Movie: 3441, Rating: 4.975
Rank: 4, Movie: 1376, Rating: 4.95
Rank: 5, Movie: 1663, Rating: 4.95
Rank: 6, Movie: 5049, Rating: 4.925
Rank: 7, Movie: 1321, Rating: 4.904761904761905
Rank: 8, Movie: 1982, Rating: 4.904761904761905
Rank: 9, Movie: 7387, Rating: 4.904761904761905
Rank: 10, Movie: 97913, Rating: 4.904761904761905
Rank: 11, Movie: 4105, Rating: 4.857142857142858
Rank: 12, Movie: 6664, Rating: 4.857142857142858
Rank: 13, Movie: 115617, Rating: 4.80952380952381
Rank: 14, Movie: 166528, Rating: 4.783505154639175
Rank: 15, Movie: 122918, Rating: 4.75
Rank: 16, Movie: 1148, Rating: 4.75
Rank: 17, Movie: 1207, Rating: 4.75
Rank: 18, Movie: 1223, Rating: 4.75
Rank: 19, Movie: 1394, Rating: 4.730769230769231
Rank: 20, Movie: 122916, Rating: 4.666666666666667
Rank: 21, Movie: 106642, Rating: 4.666666666666667
Rank: 22, Movie: 26865, Rating: 4.666666666666667
Rank: 23, Movie: 2871, Rating: 4.666666666666667
Rank: 24, Movie: 3508, Rating: 4.666666666666667
Rank: 25, Movie: 37830, Rating: 4.666666666666667
Rank: 26, Movie: 48394, Rating: 4.666666666666667
Rank: 27, Movie: 147376, Rating: 4.666666666666667
Rank: 28, Movie: 2423, Rating: 4.661016949152542
Rank: 29, Movie: 3704, Rating: 4.627118644067797
Rank: 30, Movie: 3114, Rating: 4.610169491525424
Rank: 31, Movie: 4002, Rating: 4.6
Rank: 32, Movie: 1196, Rating: 4.591208073228283
Rank: 33, Movie: 1278, Rating: 4.590053645231155
Rank: 34, Movie: 1356, Rating: 4.55
Rank: 35, Movie: 1210, Rating: 4.514062309078598
Rank: 36, Movie: 1222, Rating: 4.507131360805122
Rank: 37, Movie: 6283, Rating: 4.500000000000001
Rank: 38, Movie: 745, Rating: 4.5
Rank: 39, Movie: 904, Rating: 4.5
Rank: 40, Movie: 912, Rating: 4.5
Rank: 41, Movie: 1227, Rating: 4.5
Rank: 42, Movie: 1500, Rating: 4.5
Rank: 43, Movie: 2657, Rating: 4.5
Rank: 44, Movie: 3087, Rating: 4.5
Rank: 45, Movie: 168252, Rating: 4.5
Rank: 46, Movie: 5103, Rating: 4.5
Rank: 47, Movie: 1408, Rating: 4.499999999999999
Rank: 48, Movie: 4128, Rating: 4.487179487179487
Rank: 49, Movie: 858, Rating: 4.476129659566166
Rank: 50, Movie: 1263, Rating: 4.475
Rank: 51, Movie: 589, Rating: 4.469800997365
Rank: 52, Movie: 1200, Rating: 4.4595354504887865
Rank: 53, Movie: 318, Rating: 4.449185620386326
Rank: 54, Movie: 260, Rating: 4.4421208199794116
